,Normalized Working Title,Alias,Start Year,End Year,NLPs,BL Working Titles,Variant Titles
76,Islington Times,ISTM,1857,1874,['0003251' '0003252' '0003253'],['Islington Times'],"['Islington Times.'
 'Islington Times and Finchley, Highgate, Hornsey and Holloway Herald.'
 'Islington Times and Finsbury Advertiser.']"
77,Jewish Record,JWRC,1868,1871,['0002573'],['Jewish Record'],['Jewish Record']
78,Johnson's Sunday Monitor,JSMN,1804,1829,['0002794' '0002795' '0002796' '0002797' '0002798'],"[""Johnson's Sunday Monitor""]","[""Johnson's British gazette and Sunday monitor.""
 ""Johnson's Sunday monitor, and British gazette.""
 ""Johnson's Sunday monitor and London recorder.""
 'Sunday monitor and London recorder.' 'Sunday monitor.']"
79,Kenilworth Advertiser,KEAD,1869,1923,['0003066'],['Kenilworth Advertiser'],['The Kenilworth Advertiser.' 'Kenilworth Advertiser']
80,Lancaster Standard and County Advertiser,LSCA,1893,1909,['0003047'],['Lancaster Standard and County Advertiser'],['Lancaster Standard and County Advertiser']
81,Leeds Intelligencer,LSIR,1754,1866,['0000193' '0000236' '0000268'],['Leeds Intelligencer'],"['Leeds Intelligencer' ""Wright's Leeds Intelligencer""]"
82,Leicester Chronicle,LECH,1827,1900,['0000172' '0000173'],['Leicester Chronicle'],['Leicester Chronicle']
83,Liverpool Mercury,LVMR,1811,1900,['0000081'],['Liverpool Mercury'],['Liverpool Mercury etc']
84,Liverpool Standard and General Commercial Advertiser,LSGA,1832,1856,['0002088' '0002089' '0002090'],['Liverpool Standard and General Commercial Advertiser'],"['The Liverpool Standard and General Commercial Advertiser'
 'Liverpool Standard and General Advertiser'
 'Liverpool Standard and General Commercial Advertiser']"
85,Liverpool Weekly Courier,LWC,1867,1903,['0003067'],['Liverpool Weekly Courier'],['Liverpool Weekly Courier.' 'Liverpool Weekly Courier']
86,Lloyd's Companion to the Penny Sunday Times and Peoples' Police Gazette,LCPP,1841,1847,['0002355'],"[""Lloyd's Companion to the Penny Sunday Times and Peoples' Police Gazette""]","['Lloyd\'s Companion to the ""Penny Sunday Times and Peoples\' Police Gazette"".  (19 Sept. 1841 - 3 Jan 1847)']"
87,Lloyd's Weekly Newspaper,LINP,1842,1900,['0000077' '0000078' '0000079'],"[""Lloyd's Weekly Newspaper""]","[""Lloyd's Illustrated Newspaper"" ""Lloyd's Weekly London Newspaper""
 ""Lloyd's Weekly Newspaper""]"
88,London & Provincial News and General Advertiser,LPNGA,1861,1867,['0004310'],['London & Provincial News and General Advertiser'],['The London & Provincial News and General Advertiser.']
89,London Dispatch,LNDH,1836,1839,['0000080'],['London Dispatch'],['London Dispatch']
90,London Halfpenny Newspaper,LHPN,1861,1861,['0002801'],['London Halfpenny Newspaper'],['London Halfpenny Newspaper.']
91,London Journal and General Advertiser for Town and Country,LJGA,1836,1837,['0002995'],['London Journal and General Advertiser for Town and Country'],['London Journal and General Advertiser for Town and Country.']
92,London Life,LNLF,1879,1879,['0004213'],['London Life'],['London Life']
93,London Moderator and National Adviser,LMNA,1813,1823,['0002761'],['London Moderator and National Adviser'],['London Moderator and National Adviser']
94,London Railway Newspaper,LRNW,1845,1845,['0003000'],['London Railway Newspaper'],['London Railway Newspaper.']
95,Manchester Examiner,MEXM,1846,1848,['0003398'],['Manchester Examiner'],['Manchester Examiner']
96,Manchester Times,MRTM,1828,1900,['0000502' '0000503' '0000504' '0000083' '0000501'],['Manchester Times'],"['Manchester Examiner and Times' 'Manchester Weekly Examiner & Times'
 'Manchester Weekly Times and Examiner'
 'Manchester Times and Gazette, The' 'Manchester Times']"
97,Mirror of the Times,MRTT,1801,1823,['0002356'],['Mirror of the Times'],['Mirror of the Times.  Various dates: (1800-1823)']
98,Morning Chronicle,MCLN,1801,1865,['0000082'],['Morning Chronicle'],['Morning Chronicle']
99,Morning Herald,MRHD,1801,1869,['0002408'],['Morning Herald (London)'],['Morning Herald. (1801-1869)']
100,Morning Post,MOPT,1801,1900,['0000174' '0000175'],['Morning Post'],['Morning Post']
101,"Nantwich, Sandbach & Crewe Star",NSCS,1888,1892,['0003406'],"['Nantwich, Sandbach & Crewe Star']","['Nantwich, Sandbach & Crewe Star.']"
102,National Register,NTRG,1810,1810,['0002644'],['National Register (London)'],['National Register']
103,"Nelson Chronicle, Colne Observer and Clitheroe Division News",NCCO,1890,1904,['0003077'],"['Nelson Chronicle, Colne Observer and Clitheroe Division News']","['Nelson Chronicle, Colne Observer and Clitheroe Division News']"
104,New Court Gazette,NCGA,1840,1846,['0002426' '0002427'],['New Court Gazette'],"['New Court Gazette :' 'The Court Gazette, and Fashionable Guide.']"
105,New Times,NWTM,1818,1830,['0002357' '0002358'],['New Times (London)'],['New Times.' 'The Morning Journal.']
106,Nonconformist Elector,NCEF,1847,1847,['0002359'],['Nonconformist Elector'],['Nonconformist Elector.']
107,North London Record,NLRD,1858,1869,['0003109' '0003110' '0003111' '0003112'],['North London Record'],"['North London Record.' 'The North London Record and General Advertiser.'
 'The Clerkenwell Journal and North London Record.']"
108,North Wales Chronicle,NRWC,1827,1900,['0000094'],['North Wales Chronicle'],['North Wales Chronicle']
109,Northern Echo,NREC,1870,1900,['0000087'],['Northern Echo'],['Northern Echo']
110,Northern Liberator,NRLR,1837,1840,['0000088'],['Northern Liberator'],['Northern Liberator']
111,Northern Star and Leeds General Advertiser,NRSR,1838,1852,['0000090' '0000091'],['Northern Star and Leeds General Advertiser'],"['Northern Star and Leeds General Advertiser'
 ""Northern Star and National Trades' Journal, The""]"
112,Northern Weekly Gazette,NWGZ,1860,1932,['0003069' '0003070' '0003071' '0003072' '0003073' '0003074' '0003075'],['Northern Weekly Gazette'],"['Stockton Gazette and Middlesbrough Times.'
 ""Middlesbro' & Stockton Gazette and General Advertiser.""
 'The Middlesbrough Gazette and General Advertiser.'
 'Middlesbrough & Stockton Gazette and General Advertiser.'
 'The Middlesbrough Gazette and General Advertiser'
 'The Weekly Gazette for Middlesbrough, Stockton, Hartlepool and Cleveland District'
 'The North-Eastern Weekly Gazette.' 'Northern Weekly Gazette']"
113,Old England,OLEN,1832,1842,['0002782'],['Old England'],['Old England']
114,Orr's Kentish Journal,OKJL,1860,1866,['0004137'],"[""Orr's Kentish Journal""]","[""Orr's Kentish Journal""]"
115,Oxford Journal,JOJL,1753,1900,['0000073' '0000075'],['Oxford Journal'],"[""Jackson's Oxford Journal""]"
116,Passing Events,PSEV,1873,1873,['0004212'],['Passing Events'],['Passing Events']
117,Pen and Pencil,PNPC,1855,1855,['0003033'],['Pen and Pencil'],['Pen and Pencil :']
118,"Penistone, Stocksbridge and Hoyland Express",PSHE,1898,1940,['0003079' '0003080' '0003081'],"['Penistone, Stocksbridge and Hoyland Express']","['Penistone, Stocksbridge, Hoyland and Ecclesfield & Chapeltown express'
 'Penistone, Stocksbridge, Hoyland & Chapeltown express'
 'Penistone, Stocksbridge and Hoyland express']"
119,Pictorial Times,PICT,1843,1848,['0002361'],['Pictorial Times'],['Pictorial Times.  (18 March 1843 - 8 Jan.1848)']
120,Picture Times,PITM,1855,1856,['0003006'],['Picture Times'],['Picture Times.']
121,"Pierce Egan's Life in London, and Sporting Guide",PELL,1824,1827,['0002385'],"[""Pierce Egan's Life in London, and Sporting Guide""]","[""Pierce Egan's Life in London.  (1 Feb. 1824 - 28 Oct. 1827)""]"
122,Poole Telegram,POTG,1879,1886,['0003083'],['Poole Telegram'],['The Poole Telegram.' 'Poole Telegram']
123,Preston Pilot,PRPL,1842,1879,['0003084' '0003085'],['Preston Pilot'],"['The Preston Pilot and County Advertiser.'
 'Preston Pilot and Lancashire Advertiser.']"
124,Reynold's Newspaper,RDNP,1850,1900,['0000100' '0000101'],"[""Reynold's Newspaper""]","[""Reynold's Weekly Newspaper"" ""Reynolds's Newspaper""]"
125,Ripon Observer,RIOB,1889,1922,['0003092'],['Ripon Observer'],['Ripon Observer']
126,Royal Cornwall Gazette,COGE,1811,1900,['0000177' '0000178' '0000180'],['Royal Cornwall Gazette'],"['Royal Cornwall Gazette, Falmouth Packet & Plymouth Journal'
 'Royal Cornwall Gazette'
 'Royal Cornwall Gazette, Falmouth Packet, and General Advertized']"
127,Royal York,RYRK,1827,1827,['0002423'],['Royal York'],"['Royal York (London, England : 1827)']"
128,Runcorn Examiner,RUEX,1870,1920,['0002608' '0002609'],['Runcorn Examiner'],['Runcorn and Widnes Examiner.' 'Runcorn Examiner.' 'Runcorn Examiner']
129,Sainsbury's Weekly Register and Advertising Journal,SWRJ,1859,1864,['0002810'],"[""Sainsbury's Weekly Register and Advertising Journal""]","[""Sainsbury's Weekly Register and Advertising Journal :""]"
130,Sheffield Public Advertiser,SHPA,1760,1793,['0003101' '0003102' '0003103'],['Sheffield Public Advertiser'],"['Public Advertiser.' 'Sheffield Public Advertiser.'
 'Sheffield Advertiser.']"
131,South London Advertiser,SLAD,1863,1866,['0004191'],['South London Advertiser'],['South London Advertiser']
132,South London Times and Lambeth Observer,SLTL,1856,1865,['0003255' '0003256' '0003257'],['South London Times and Lambeth Observer'],"['The South London Times and County Advertiser.'
 'Lambeth Observer, The South London Times, etc.'
 'South London Times and Lambeth Observer.']"
133,Southern Star,SNSR,1840,1840,['0000102'],['Southern Star'],['Southern Star']
134,Southwark Mercury,SWME,1879,1881,['0003262' '0003263'],['Southwark Mercury'],['Southwark Mercury.' 'Southwark Mercury and South London News.']
135,Sport,SPRT,1880,1880,['0004134'],['Sport'],['Sport']
136,Stalybridge Examiner,STEX,1876,1876,['0002611'],['Stalybridge Examiner'],"['Stalybridge Examiner, and Ashton, Dukinfield and Mossley Advertiser.']"
137,"Stockton Herald, South Durham and Cleveland Advertiser",SHSD,1858,1918,['0002975' '0002976'],"['Stockton Herald, South Durham and Cleveland Advertiser']","['Stockton Herald, South Durham and Cleveland Advertiser.'
 'Stockton Herald, South Durham and Cleveland Advertiser'
 'The Stockton & Thornaby Herald and South Durham Advertiser']"
138,Stretford and Urmston Examiner,STUE,1879,1880,['0002614'],['Stretford and Urmston Examiner'],['Stretford and Urmston Examiner.' 'Stretford and Urmston Examiner']
139,Sunday Gazette,SUGA,1866,1867,['0004210'],['Sunday Gazette'],"['Sunday Gazette, London']"
140,Sunday News,SUNW,1823,1823,['0003113'],['Sunday News'],['Sunday News.']
141,Surrey & Middlesex Standard,SMSD,1835,1840,['0003266' '0003267' '0003268'],['Surrey & Middlesex Standard'],"['The Surrey Standard, and Surrey, Middlesex, Sussex, Kent, Hants & Berks Advertiser.'
 'Surrey & Middlesex Standard, and Agricultural, Commercial, and General Advertiser.'
 'Surrey Standard, Windsor and Eton Journal and Middlesex Herald, etc']"
142,Surrey Herald and County Advertiser,SHCA,1826,1826,['0004192'],['Surrey Herald and County Advertiser'],['Surrey Herald and County Advertiser']
143,Surrey Mercury,SURY,1845,1847,['0004135'],['Surrey Mercury'],"['Surrey Mercury; Guildford, Kingston, Epsom, Dorking, Croydon, Reigate, Farnham & Chertsey Agricultural Journal']"
144,Swansea Journal and South Wales Liberal,SJWL,1893,1902,['0003097' '0003098'],['Swansea Journal and South Wales Liberal'],"['The South Wales Liberal and Swansea Journal'
 'Swansea Journal and South Wales Liberal']"
145,Swansea and Glamorgan Herald,SGHL,1847,1890,['0002977'],['Swansea and Glamorgan Herald'],"['Swansea and Glamorgan Herald, and South Wales Free Press.'
 'Swansea and Glamorgan Herald, and South Wales Free Press']"
146,Thacker's Overland News for India and the Colonies,TONI,1857,1864,['0002808' '0002809'],"[""Thacker's Overland News for India and the Colonies""]","[""Thacker's Overland News for India, and the Colonies.""
 ""Thacker's Overland News for India, China, and the East.""]"
147,The Age (London),TALN,1825,1845,['0002413' '0002414'],['Age (London)'],['The Age :' 'The Age and Argus :']
148,The Age 1852,AGE52,1852,1853,['0003023'],['Age 1852'],['The Age.']
149,The Agricultural Advertiser and Tenant-Farmers' Advocate,AATA,1846,1846,['0003031'],"[""Agricultural Advertiser and Tenant-Farmers' Advocate""]","[""The Agricultural Advertiser and Tenant-Farmers' Advocate.""]"
150,The Albion,ALBN,1852,1853,['0003027'],['Albion'],['The Albion :']
151,The Albion and the Star,ALST,1830,1835,['0002362' '0002363'],['Albion and the Star '],['The Albion.' 'The Albion and the Star.']
152,The Anti-Gallican Monitor,AGMO,1811,1825,['0002364' '0002365' '0002366' '0002367'],['Anti-Gallican Monitor'],"['The Anti-Gallican Monitor.'
 'The Anti-Gallican Monitor, and Anti-Corsican Chronicle.'
 'The British Monitor.']"
153,"The Argus, or, Broad-sheet of the Empire",ARGB,1839,1843,['0002368'],"['Argus, or, Broad-sheet of the Empire']","['The Argus, or, Broad-sheet of the Empire.   (3 Feb.1839-30 Sept.1843)']"
154,"The Atherstone, Nuneaton, and Warwickshire Times",ANWT,1879,1891,['0003044' '0003045'],"['Atherstone, Nuneaton, and Warwickshire Times']","['The Atherstone Times.'
 'The Atherstone, Nuneaton, and Warwickshire Times.'
 'The Atherstone, Nuneaton, and Warwickshire Times']"
155,The Aurora Borealis,AUBO,1821,1821,['0002638'],['Aurora Borealis'],['The Aurora Borealis']
156,The Ballot,BLOT,1831,1832,['0002585'],['Ballot'],['The Ballot.']
157,The Barrow Herald and Furness Advertiser,BHFA,1862,1914,['0003042'],['Barrow Herald and Furness Advertiser'],"['The Barrow Herald and Furness Advertiser.'
 'The Barrow Herald and Furness Advertiser']"
158,The Bath Chronicle,BHCH,1760,1800,['0000211' '0000219' '0000220' '0000221'],['Bath Chronicle'],"[""Pope's Bath Chronicle"" 'The Bath and Bristol Chronicle' 'Bath Chronicle']"
159,The Beacon (Edinburgh),BCE1,1821,1821,['0002370'],['Beacon (Edinburgh)'],['The Beacon (Edinburgh)  6 Jan-22 Sept   1821']
160,The Beacon (London),BCL2,1822,1822,['0002369'],['Beacon (London)'],['The Beacon.  (London): 21 April-2 June 1822']
161,The Bee-Hive,BEHI,1862,1876,['0002247' '0002249'],['Bee-Hive'],"['The Bee-Hive. (4 Oct.1862 - 12 Feb. 1870)'
 'The Bee-Hive. (11 June 1870 - 30 Dec. 1876)']"
162,The Belfast News-Letter,BNWL,1828,1900,['0000038'],['Belfast News-Letter'],['The Belfast News-Letter']
163,The Birkenhead News,BKNW,1878,1920,['0003040'],['Birkenhead News'],['The Birkenhead News and Wirral General Advertiser.']
164,The Blackburn Standard,BLSD,1835,1900,['0000151' '0000152' '0000153' '0000154'],['Blackburn Standard'],"['The Blackburn Standard'
 'The Blackburn Standard, Darwen Observer, and North-East Lancashire Advertiser'
 'The Blackburn Standard and Weekly Express'
 'The Weekly Standard and Express']"
165,The Blackpool Herald,BLHD,1874,1919,['0003037' '0003038'],['Blackpool Herald'],['The Blackpool Herald' 'Blackpool Herald and Fylde Advertiser.']
