,,,,,,,,,,,,
,Normalized Working Title,Working title (BL),Variant Title,NLP,Alias (in file-syst or generated),Country,Start Year,End Year,Copy already shared with Impresso,Start year in Impresso local copy,End year in Impresso local copy,Notes about local copy
72,Bell's News,Bell's News,Bell's News.,0002789,BELL,England,1855,1857,"Yes, fully",1855,1857,
73,Bell's Penny Dispatch,Bell's Penny Dispatch,"Bell's Penny Dispatch, etc :",0002347,BPDH,England,1842,1842,"Yes, fully",1842,1842,
582,Berrow's Worcester Journal,Berrow's Worcester Journal,Berrow's Worcester Journal,0000150,WOJL,,,,"Yes, not originally lsit",1822,1896,
74,Berthold's Political Handkerchief,Berthold's Political Handkerchief,Berthold's Political Handkerchief,0002778,BPHF,England,1831,1831,"Yes, fully",1831,1831,
568,Birmingham Daily Post,Birmingham Daily Post,Birmingham Daily Post,0000033,BDPO,England,,,"Yes, not originally lsit",1857,1900,
501,Blandford Weekly News,Blandford Weekly News,Blandford Weekly News,0003052,BWNW,England,1885,1889,"Yes, fully",1885,1889,
502,Blandford Weekly News,Blandford Weekly News,Weekly News,0003053,BWNW,England,1889,1892,"Yes, fully",1889,1892,
3,Bradford Observer,Bradford Observer,The Bradford Observer,0000155,BROR,England,1834,1875,"Yes, fully",1834,1875,
564,Bridgend Chronicle,Bridgend Chronicle,"Bridgend Chronicle, Cowbridge, Llantrisant, and Maesteg Advertiser.",0003056,BGCH,Wales,1883,1888,"Yes, more than in the list",1880,1892,same issues sometimes (at least 1888/11/16)
565,Bridgend Chronicle,Bridgend Chronicle,"Bridgend & Neath Chronicle, and County of Glamorgan Advertiser.",0003057,BGCH,Wales,1888,1894,"Yes, fully",1888,1894,same issues sometimes (at least 1888/11/16)
451,Bridlington and Quay Gazette,Bridlington and Quay Gazette,Bridlington and Quay Gazette.,0003059,BQGA,England,1877,1877,"Yes, fully",1877,1877,Not separated in the data
503,Bridlington and Quay Gazette,Bridlington and Quay Gazette,Bridlington and Quay Gazette,0003059,BQGA,England,1880,1899,"Yes, fully",1880,1899,Not separated in the data
504,Bridlington and Quay Gazette,Bridlington and Quay Gazette,Bridlington and Quay Gazette,0003059,BQGA,England,1913,1914,"Yes, fully",1913,1914,
452,"Bridport, Beaminster, and Lyme Regis Telegram","Bridport, Beaminster, and Lyme Regis Telegram","Bridport, Beaminster, and Lyme Regis Telegram and Dorset, Somerset, and Devon Advertiser.",0003060,BBLT,England,1865,1865,"Yes, fully",1865,1865,Not separated in the data
453,"Bridport, Beaminster, and Lyme Regis Telegram","Bridport, Beaminster, and Lyme Regis Telegram","Bridport, Beaminster, and Lyme Regis Telegram and Dorset, Somerset, and Devon Advertiser.",0003060,BBLT,England,1877,1879,"Yes, partially",1877,1878,Not separated in the data
505,"Bridport, Beaminster, and Lyme Regis Telegram","Bridport, Beaminster, and Lyme Regis Telegram","Bridport, Beaminster, and Lyme Regis Telegram and Dorset, Somerset, and Devon Advertiser",0003060,BBLT,England,1880,1886,"Yes, fully",1880,1886,Not separated in the data
81,Brief,Brief,Brief,0002769,BRIF,England,1877,1881,"Yes, fully",1877,1881,
82,Brief,Brief,Brief News & Opinion,0002770,BRIF,England,1881,1881,"Yes, fully",1881,1881,
83,Brief,Brief,The Week's News,0002771,BRIF,England,1881,1882,"Yes, fully",1881,1882,
84,Brighouse & Rastrick Gazette,Brighouse & Rastrick Gazette,Brighouse Gazette and Local Railway Guide.,0003062,BRGA,England,1894,1899,"Yes, fully",1894,1899,
454,Brighouse & Rastrick Gazette,Brighouse & Rastrick Gazette,Brighouse & Rastrick Gazette.,0003061,BRGA,England,1879,1879,"Yes, fully",1879,1879,Not separated in the data
506,Brighouse & Rastrick Gazette,Brighouse & Rastrick Gazette,Brighouse & Rastrick Gazette,0003061,BRGA,England,1880,1894,"Yes, fully",1880,1894,Not separated in the data
332,Brighton Patriot ,Brighton Patriot ,Brighton Patriot and South of England Free Press,0000040,BRPT,England,,,"Yes, fully",1835,1839,
87,British Army Despatch,British Army Despatch,"British Army Despatch, etc.",0002811,BRAD,England,1848,1853,"Yes, fully",1848,1853,
88,British Army Despatch,British Army Despatch,British Army Despatch and Royal Naval Record.,0002812,BRAD,England,1853,1854,"Yes, fully",1853,1854,
89,British Army Despatch,British Army Despatch,British Army Despatch and Nautical Standard.,0002813,BRAD,England,1854,1856,"Yes, fully",1854,1856,
94,British Mercury or Wednesday Evening Post,British Mercury or Wednesday Evening Post,"British Mercury; or, Wednesday Evening Post",0002772,BRMW,England,1806,1823,"Yes, fully",1806,1823,
95,British Mercury or Wednesday Evening Post,British Mercury or Wednesday Evening Post,"British Mercury, and Wednesday's Evening Post",0002773,BRMW,England,1823,1825,"Yes, fully",1823,1825,
473,British Miner and General Newsman,British Miner and General Newsman,"British Miner and General Newsman (London, England : 1862)",0003537,BRMG,England,1862,1863,"Yes, fully",1862,1863,
474,British Miner and General Newsman,British Miner and General Newsman,"The Miner (London, England : 1863)",0003538,BRMG,England,1863,1863,"Yes, fully",1863,1863,
475,British Miner and General Newsman,British Miner and General Newsman,"The Miner and Workman's Advocate (London, England : 1863)",0003539,BRMG,England,1863,1865,"Yes, fully",1863,1865,
476,British Miner and General Newsman,British Miner and General Newsman,"The Workman's Advocate (London, England : 1865)",0003540,BRMG,England,1865,1866,"Yes, fully",1865,1866,
477,British Miner and General Newsman,British Miner and General Newsman,"The Commonwealth (London, England : 1866)",0003541,BRMG,England,1866,1867,"Yes, fully",1866,1867,
337,Caledonian Mercury,Caledonian Mercury,Caledonian Mercury,0000045,CNMR,Scotland,1720,1799,"Yes, fully",1720,1799,
338,Caledonian Mercury,Caledonian Mercury,Caledonian Mercury,0000045,CNMR,Scotland,1800,1859,"Yes, fully",1800,1859,
339,Caledonian Mercury,Caledonian Mercury,"Caledonian Mercury and Daily Express, The",0000046,CNMR,Scotland,1860,1860,"Yes, fully",1860,1860,
340,Caledonian Mercury,Caledonian Mercury,"Caledonian Mercury, The",0000047,CNMR,Scotland,1860,1867,"Yes, fully",1860,1867,
104,Charles Knight's Town & Country Newspaper,Charles Knight's Town & Country Newspaper,Charles Knight's Town & Country Newspaper.,0002984,CKTC,England,1855,1855,"Yes, fully",1855,1855,
105,Charles Knight's Town & Country Newspaper,Charles Knight's Town & Country Newspaper,The Town and Country Newspaper.,0002985,CKTC,England,1855,1856,"Yes, fully",1855,1856,
106,Chelsea & Pimlico Advertiser,Chelsea & Pimlico Advertiser,"Chelsea, Pimlico and Brompton Advertiser.",0003244,CPAD,England,1860,1861,"Yes, fully",1860,1861,
107,Chelsea & Pimlico Advertiser,Chelsea & Pimlico Advertiser,Chelsea & Pimlico Advertiser.,0003245,CPAD,England,1861,1866,"Yes, fully",1861,1866,
583,Cheshire Observer,Cheshire Observer,Cheshire Observer,0000157,CHOR,,,,"Yes, not originally lsit",1872,1900,
584,Cheshire Observer,Cheshire Observer,Cheshire Observer and General Advertiser for Cheshire and North Wales,0000158,CHOR,,,,"Yes, not originally lsit",1854,1863,
610,Cheshire Observer,Cheshire Observer,Cheshire Observer,0000485,CHOR,,,,"Yes, not originally lsit",1864,1871,
108,Christian Times ,Christian Times ,The London Christian Times.,0002765,CHTI,England,1863,1864,"Yes, fully",1863,1864,
109,Christian Times ,Christian Times ,Illustrated Christian Times.,0002766,CHTI,England,1865,1866,"Yes, fully",1865,1866,
110,Christian Times ,Christian Times ,Christian Times.,0002767,CHTI,England,1866,1871,"Yes, fully",1866,1871,
113,City of London Trade Protection Circular,City of London Trade Protection Circular,City of London Trade Protection Circular.,0002418,CLTP,England,1848,1849,"Yes, fully",1848,1849,
359,Cleave's Weekly Police Gazette,Cleave's Weekly Police Gazette,Cleave's Weekly Police Gazette. (26 Dec. 1835 - 3 Sept. 1836),0000356,CWPG,England,1835,1836,"Yes, fully",1835,1836,
387,Cleave's Weekly Police Gazette,Cleave's Weekly Police Gazette,"Cleave's Weekly Police Gazette and Journal of News, Politics, and Literature.  (17 Sept. - 1 Oct. 1836)",0002270,CWPG,England,1836,1836,"Yes, fully",1836,1836,
115,Cobbett's Evening Post,Cobbett's Evening Post,Cobbett's Evening Post,0002348,CBEP,England,1820,1820,"Yes, fully",1820,1820,
343,Cobbett's Weekly Political Register ,Cobbett's Weekly Political Register ,Cobbett's Weekly Political Register,0000050,CWPR,England,1804,1836,"Yes, more than in the list",1802,1836,
370,Colored News,Colored News,Colored News,0002244,CLNW,England,1855,1855,"Yes, fully",1855,1855,
120,Common Sense,Common Sense,"Common Sense (London, England : 1824)",0002992,CMSN,England,1824,1826,"Yes, fully",1824,1826,
435,Cradley Heath & Stourbridge Observer,Cradley Heath & Stourbridge Observer,Cradley Heath & Stourbridge Observer.,0002972,CHSO,England,1864,1864,"Yes, fully",1864,1864,
436,Cradley Heath & Stourbridge Observer,Cradley Heath & Stourbridge Observer,"The Observer, Cradley Heath, Halesowen & District Chronicle.",0002973,CHSO,England,1864,1866,"Yes, fully",1864,1866,
437,Cradley Heath & Stourbridge Observer,Cradley Heath & Stourbridge Observer,"The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle.",0002974,CHSO,England,1866,1879,"Yes, fully",1866,1879,Not separated in the data
515,Cradley Heath & Stourbridge Observer,Cradley Heath & Stourbridge Observer,"The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle",0002974,CHSO,England,1880,1888,"Yes, fully",1880,1888,Not separated in the data
585,Daily Gazette For Middlesbrough,Daily Gazette For Middlesbrough,Daily Gazette For Middlesbrough,0000159,DGMH,,,,"Yes, not originally lsit",1882,1900,
611,Daily Gazette For Middlesbrough,Daily Gazette For Middlesbrough,Daily Gazette For Middlesbrough,0000486,DGMH,,,,"Yes, not originally lsit",1870,1872,
612,Daily Gazette For Middlesbrough,Daily Gazette For Middlesbrough,Daily Gazette For Middlesbrough,0000487,DGMH,,,,"Yes, not originally lsit",1873,1881,
6,Daily News,Daily News,Daily News,0000051,DNLN,England,1846,1900,"Yes, fully",1846,1900,
129,Daily Politician,Daily Politician,Daily Politician,0002349,DPLT,England,1836,1836,"Yes, fully",1836,1836,"Change of name during the year: 49 for january/feb, 50 for september, 51 for october"
130,Daily Politician,Daily Politician,The Daily Politician,0002350,DPLT,England,1836,1836,"Yes, fully",1836,1836,"Change of name during the year: 49 for january/feb, 50 for september, 51 for october"
131,Daily Politician,Daily Politician,The Politician,0002351,DPLT,England,1836,1836,"Yes, fully",1836,1836,"Change of name during the year: 49 for january/feb, 50 for september, 51 for october"
470,Darlington & Richmond Herald,Darlington & Richmond Herald,"The Darlington & Stockton Telegraph, Richmond Herald, South Durham and North York Review.",0003400,DRHE,England,1867,1873,"Yes, fully",1867,1873,
471,Darlington & Richmond Herald,Darlington & Richmond Herald,Darlington & Richmond Herald,0003401,DRHE,England,1873,1879,"Yes, fully",1873,1879,Not separated in the data
558,Darlington & Richmond Herald,Darlington & Richmond Herald,Darlington & Richmond Herald,0003401,DRHE,England,1880,1880,"Yes, fully",1880,1880,Not separated in the data
425,Denton and Haughton Examiner,Denton and Haughton Examiner,"The Denton, Haughton, & District Weekly News.",0002617,DHEX,England,1873,1874,"Yes, fully",1873,1874,Not separated in the data
426,Denton and Haughton Examiner,Denton and Haughton Examiner,"Denton & Haughton Weekly News, and Audenshaw, Hooley Hill, and Dukinfield Advertiser.",0002618,DHEX,England,1874,1875,"Yes, fully",1874,1875,
427,Denton and Haughton Examiner,Denton and Haughton Examiner,"Denton Examiner, Audenshaw, Hooley Hill and Dukinfield Advertiser.",0002619,DHEX,England,1875,1878,"Yes, fully",1875,1878,
428,Denton and Haughton Examiner,Denton and Haughton Examiner,"Denton and Haughton Examiner, etc.",0002620,DHEX,England,1878,1879,"Yes, fully",1878,1879,Not separated in the data
513,Denton and Haughton Examiner,Denton and Haughton Examiner,"Denton, Haughton, & District Weekly News",0002617,DHEX,England,1873,1873,"Yes, fully",1873,1873,Not separated in the data
514,Denton and Haughton Examiner,Denton and Haughton Examiner,"Denton and Haughton Examiner, etc",0002620,DHEX,England,1880,1892,"Yes, fully",1880,1892,Not separated in the data
7,Derby Mercury,Derby Mercury,Derby Mercury,0000052,DYMR,England,1800,1900,"Yes, more than in the list",1788,1900,
600,Derby Mercury,Derby Mercury,Derby Mercury,0000189,DYMR,,,,"Yes, not originally lsit",1727,1787,
559,Dewsbury Chronicle and West Riding Advertiser ,Dewsbury Chronicle and West Riding Advertiser ,Dewsbury Chronicle and West Riding Advertiser ,0003408,DCWA,England,1876,1895,"Yes, more than in the list",1869,1895,
468,Dorset County Express and Agricultural Gazette,Dorset County Express and Agricultural Gazette,The Dorset County Express and Agricultural Gazette.,0003091,DCEA,England,1858,1879,"Yes, fully",1858,1879,Not separated in the data
550,Dorset County Express and Agricultural Gazette,Dorset County Express and Agricultural Gazette,Dorset County Express and Agricultural Gazette,0003091,DCEA,England,1880,1886,"Yes, fully",1880,1886,Not separated in the data
134,Douglas Jerrold's Weekly Newspaper,Douglas Jerrold's Weekly Newspaper,Douglas Jerrold's Weekly Newspaper.,0002409,DJWN,England,1846,1848,"Yes, fully",1846,1848,
135,Douglas Jerrold's Weekly Newspaper,Douglas Jerrold's Weekly Newspaper,Jerrolds' Weekly News and Financial Economist.,0002410,DJWN,England,1849,1849,"Yes, fully",1849,1849,
136,Douglas Jerrold's Weekly Newspaper,Douglas Jerrold's Weekly Newspaper,The Weekly News and Financial Economist.,0002411,DJWN,England,1849,1851,"Yes, fully",1849,1851,
137,Duckett's Dispatch,Duckett's Dispatch,Duckett's Dispatch.,0003106,DDIS,England,1818,1818,"Yes, fully",1818,1818,"106: jan-march, 107: april-may"
138,Duckett's Dispatch,Duckett's Dispatch,Duckett's Paper.,0003107,DDIS,England,1818,1818,"Yes, fully",1818,1818,
589,Dundee Courier,Dundee Courier,The Courier and Argus,0000164,DUCR,,,,"Yes, not originally lsit",1900,1900,
586,Dundee Courier,Dundee Courier,Dundee Courier,0000160,DUCR,,,,"Yes, not originally lsit",1844,1861,
587,Dundee Courier,Dundee Courier,Dundee Courier and Daily Argus,0000161,DUCR,,,,"Yes, not originally lsit",1862,1862,
588,Dundee Courier,Dundee Courier,Dundee Courier & Argus,0000162,DUCR,,,,"Yes, not originally lsit",1863,1873,
609,Dundee Courier,Dundee Courier,Dundee Courier & Argus,0000269,DUCR,,,,"Yes, not originally lsit",1874,1899,
139,East London Advertiser,East London Advertiser,East London Advertiser.,0003248,ELAD,England,1862,1866,"Yes, fully",1862,1866,
8,East Wind,East Wind,East Wind,0004214,EAWN,England,1875,1876,"Yes, fully",1875,1876,
150,Exeter Flying Post,Exeter Flying Post,"Trewman's Exeter Flying Post, or, Plymouth and Cornish Advertiser",0000103,TEFP,England,1800,1900,"Yes, fully",1800,1900,
13,Finsbury Free Press,Finsbury Free Press,Finsbury free press and general advertiser.,0004140,FFPR,England,1868,1868,"Yes, fully",1868,1868,
14,Finsbury Free Press,Finsbury Free Press,Finsbury free press and Hackney herald.,0004142,FFPR,England,1869,1869,"Yes, fully",1869,1869,
15,Finsbury Free Press,Finsbury Free Press,Finsbury free press and Islington advertiser.,0004143,FFPR,England,1869,1869,"Yes, fully",1869,1869,
16,Finsbury Free Press,Finsbury Free Press,"Finsbury free press, and Tower Hamlets and Hackney herald.",0004141,FFPR,England,1868,1869,"Yes, fully",1868,1869,
151,Fleming's British Farmers' Chronicle,Fleming's British Farmers' Chronicle,Fleming's Weekly Express.,0002804,FBFC,England,1823,1824,"Yes, fully",1823,1824,
152,Fleming's British Farmers' Chronicle,Fleming's British Farmers' Chronicle,Fleming's Weekly Express and British Farmers' Chronicle.,0002805,FBFC,England,1824,1825,"Yes, fully",1824,1825,
153,Fleming's British Farmers' Chronicle,Fleming's British Farmers' Chronicle,Fleming's British Farmers' Chronicle.,0002806,FBFC,England,1825,1826,"Yes, fully",1825,1826,
154,Fleming's British Farmers' Chronicle,Fleming's British Farmers' Chronicle,"The British Farmers' Chronicle, and Commercial Gazette.",0002807,FBFC,England,1826,1829,"Yes, fully",1826,1829,
155,Fleming's Weekly Express,Fleming's Weekly Express,Fleming's Weekly Express.,0002802,FWEX,England,1823,1826,"Yes, fully",1823,1826,
156,Fleming's Weekly Express,Fleming's Weekly Express,The Times' Express.,0002803,FWEX,England,1826,1826,"Yes, fully",1826,1826,
157,Fonetic Nuz,Fonetic Nuz,Fonetic Nuz,0002760,FONU,England,1849,1849,"Yes, fully",1849,1849,
158,Francis's Metropolitan News,Francis's Metropolitan News,Francis's Metropolitan News.,0003003,FMNW,England,1859,1859,"Yes, fully",1859,1859,
17,Freeman's Journal,Freeman's Journal,Freeman's Journal and Daily Commercial Advertiser,0000056,FRJO,Ireland,1820,1900,"Yes, fully",1820,1900,
466,Glasgow Courier,Glasgow Courier,Glasgow Courier.,0003089,GLCO,Scotland,1802,1802,"Yes, fully",1802,1802,Not separated in the data
467,Glasgow Courier,Glasgow Courier,Glasgow Courier.,0003089,GLCO,Scotland,1844,1866,"Yes, partially",1844,1866,"Not separated in the data, missing 1849, 1852"
160,Glasgow Herald,Glasgow Herald,Glasgow Herald,0000060,GWHD,Scotland,1820,1900,"Yes, fully",1820,1900,
161,Glasgow Sentinel,Glasgow Sentinel,Glasgow Sentinel.,0002371,GLSE,Scotland,1821,1823,"Yes, fully",1821,1823,
162,Golden Times,Golden Times,Golden Times :,0003001,GOTM,England,1852,1852,"Yes, fully",1852,1852,
163,Halifax Comet,Halifax Comet,Halifax Local Opinion.,0003063,HLCM,England,1892,1893,"Yes, fully",1892,1892,
164,Halifax Comet,Halifax Comet,Halifax Local Opinion.,0003064,HLCM,England,1893,1901,"Yes, fully",1893,1901,Not separated in the data
531,Halifax Comet,Halifax Comet,Halifax Comet,0003064,HLCM,England,1902,1904,"Yes, fully",1902,1904,Not separated in the data
21,Hampshire Telegraph,Hampshire Telegraph,Hampshire Telegraph & Portsmouth Gazette,0000068,HPTE,England,1802,1803,"Yes, fully",1803,1803,
22,Hampshire Telegraph,Hampshire Telegraph,Hampshire Telegraph and Naval Chronicle,0000070,HPTE,England,1900,1900,"Yes, fully",1900,1900,
23,Hampshire Telegraph,Hampshire Telegraph,"Hampshire Telegraph and Sussex Chronicle, etc",0000069,HPTE,England,1803,1900,"Yes, fully",1804,1899,
24,Hampshire Telegraph,Hampshire Telegraph,Hampshire/Portsmouth Telegraph,0000066,HPTE,England,1800,1802,"Yes, more than in the list",1799,1802,
532,Haslingden Gazette,Haslingden Gazette,Haslingden Gazette,0003065,HAGZ,England,1901,1904,"Yes, fully",1901,1904,
533,Haslingden Gazette,Haslingden Gazette,Haslingden Gazette,0003065,HAGZ,England,1905,1926,"Yes, fully",1905,1926,
166,Hetherington's Twopenny Dispatch,Hetherington's Twopenny Dispatch,"Hetherington's Twopenny Dispatch, and People's Police Register ",0002777,HTWD,England,1836,1836,"Yes, fully",1836,1836,
167,High Life in London,High Life in London,High Life in London :,0002416,HLLN,England,1827,1828,"Yes, fully",1827,1828,
168,High Life in London,High Life in London,High Life: and Sunday Fashionable Post.,0002417,HLLN,England,1828,1828,"Yes, fully",1828,1828,
27,Holt's Weekly Chronicle,Holt's Weekly Chronicle,Holt's Weekly Chronicle,0004688,HWCH,England,1837,1855,"Yes, fully",1837,1855,
169,Hour,Hour,Hour.,0002814,HOUR,England,1873,1876,"Yes, fully",1873,1876,
170,Huddersfield Chronicle,Huddersfield Chronicle,The Huddersfield Chronicle and West Yorkshire Advertiser,0000167,HUCE,England,1850,1900,"Yes, fully",1850,1900,
571,Hull Packet,Hull Packet,The Hull Packet,0000061,HLPA,,,,"Yes, not originally lsit",1800,1806,
572,Hull Packet,Hull Packet,"The Hull Packet and Original Weekly Commercial, Literary and General Advertiser",0000062,HLPA,,,,"Yes, not originally lsit",1807,1827,
573,Hull Packet,Hull Packet,The Hull Packet and Humber Mercury,0000063,HLPA,,,,"Yes, not originally lsit",1828,1833,
574,Hull Packet,Hull Packet,The Hull Packet,0000064,HLPA,,,,"Yes, not originally lsit",1834,1842,
575,Hull Packet,Hull Packet,The Hull Packet and East Riding Times,0000065,HLPA,,,,"Yes, not originally lsit",1843,1886,
629,Illustrated Crystal Palace Gazette,Illustrated Crystal Palace Gazette,The Illustrated Crystal Palace Gazette,0004186,ICPG,,,,"Yes, not originally lsit",1853,1854,
171,Illustrated London Life,Illustrated London Life,Illustrated London Life.,0003005,ILOL,England,1843,1843,"Yes, fully",1843,1843,
630,Illustrated Midland News,Illustrated Midland News,Illustrated Midland News,0004187,IMNW,,,,"Yes, not originally lsit",1869,1871,
371,Illustrated Sporting News and Theatrical and Musical Review,Illustrated Sporting News and Theatrical and Musical Review,"Illustrated Sporting News and Theatrical and Musical Review (Illustrated Sporting News, Theatrical Review.) (15 March 1862 - 29 Oct.1864; 10 June - 18 Nov.1865)",0002245,ISNT,England,1862,1865,"Yes, partially",1864,1865,
372,Illustrated Sporting News and Theatrical and Musical Review,Illustrated Sporting News and Theatrical and Musical Review,Illustrated Sporting and Theatrical News. (25 Nov.1865 - 19 March 1870),0002246,ISNT,England,1865,1870,"Yes, partially",1865,1869,
28,Illustrated Times 1853,Illustrated Times 1853,Illustrated Times: A family newspaper for town and country.,0004133,ILT53,England,1853,1854,"Yes, fully",1853,1854,
172,Illustrated Weekly Times,Illustrated Weekly Times,Illustrated Weekly Times.,0003004,ILWT,England,1843,1843,"Yes, fully",1843,1843,
566,Irvine Express,Irvine Express,Irvine Express.,0003086,IREX,Scotland,1882,1884,"Yes, fully",1882,1884,
567,Irvine Express,Irvine Express,Irvine Express and North Ayrshire Post.,0003087,IREX,Scotland,1884,1886,"Yes, fully",1884,1886,
31,Isle of Wight Observer,Isle of Wight Observer,Isle of Wight Observer,0000170,IWOR,England,1852,1900,"Yes, fully",1853,1900,
175,Islington Times,Islington Times,Islington Times.,0003251,ISTM,England,1857,1865,"Yes, fully",1857,1865,
176,Islington Times,Islington Times,"Islington Times and Finchley, Highgate, Hornsey and Holloway Herald.",0003252,ISTM,England,1871,1872,"Yes, fully",1871,1872,
177,Islington Times,Islington Times,Islington Times and Finsbury Advertiser.,0003253,ISTM,England,1872,1874,"Yes, fully",1872,1874,
483,Jewish Record,Jewish Record,Jewish Record,0002573,JWRC,England,1868,1871,"Yes, fully",1868,1871,
178,Johnson's Sunday Monitor,Johnson's Sunday Monitor,Johnson's British gazette and Sunday monitor.,0002794,JSMN,England,1804,1805,"Yes, fully",1804,1805,
179,Johnson's Sunday Monitor,Johnson's Sunday Monitor,"Johnson's Sunday monitor, and British gazette.",0002795,JSMN,England,1805,1813,"Yes, fully",1805,1813,
180,Johnson's Sunday Monitor,Johnson's Sunday Monitor,Johnson's Sunday monitor and London recorder.,0002796,JSMN,England,1813,1814,"Yes, fully",1814,1814,"96: jan-feb, 97: feb-dec, no overlap"
181,Johnson's Sunday Monitor,Johnson's Sunday Monitor,Sunday monitor and London recorder.,0002797,JSMN,England,1814,1814,"Yes, fully",1814,1814,"96: jan-feb, 97: feb-dec, no overlap"
182,Johnson's Sunday Monitor,Johnson's Sunday Monitor,Sunday monitor.,0002798,JSMN,England,1815,1829,"Yes, fully",1815,1829,
455,Kenilworth Advertiser,Kenilworth Advertiser,The Kenilworth Advertiser.,0003066,KEAD,England,1869,1879,"Yes, fully",1869,1879,Not separated in the data
534,Kenilworth Advertiser,Kenilworth Advertiser,Kenilworth Advertiser,0003066,KEAD,England,1880,1904,"Yes, fully",1880,1904,Not separated in the data
535,Kenilworth Advertiser,Kenilworth Advertiser,Kenilworth Advertiser,0003066,KEAD,England,1905,1923,"Yes, fully",1905,1923,
527,Lancaster Standard and County Advertiser,Lancaster Standard and County Advertiser,Lancaster Standard and County Advertiser,0003047,LSCA,England,1893,1904,"Yes, fully",1893,1904,
528,Lancaster Standard and County Advertiser,Lancaster Standard and County Advertiser,Lancaster Standard and County Advertiser,0003047,LSCA,England,1905,1909,"Yes, fully",1905,1909,
602,Leeds Intelligencer,Leeds Intelligencer,Leeds Intelligencer,0000193,LSIR,,,,"Yes, not originally lsit",1819,1866,
607,Leeds Intelligencer,Leeds Intelligencer,Leeds Intelligencer,0000236,LSIR,,,,"Yes, not originally lsit",1754,1809,
608,Leeds Intelligencer,Leeds Intelligencer,Wright's Leeds Intelligencer,0000268,LSIR,,,,"Yes, not originally lsit",1810,1818,
590,Leicester Chronicle,Leicester Chronicle,Leicester Chronicle,0000172,LECH,,,,"Yes, not originally lsit",1827,1864,
591,Leicester Chronicle,Leicester Chronicle,Leicester Chronicle,0000173,LECH,,,,"Yes, not originally lsit",1865,1900,
578,Liverpool Mercury,Liverpool Mercury,Liverpool Mercury etc,0000081,LVMR,,,,"Yes, not originally lsit",1811,1900,
364,Liverpool Standard and General Commercial Advertiser,Liverpool Standard and General Commercial Advertiser,The Liverpool Standard and General Commercial Advertiser,0002088,LSGA,England,1832,1854,"Yes, fully",1832,1854,
365,Liverpool Standard and General Commercial Advertiser,Liverpool Standard and General Commercial Advertiser,Liverpool Standard and General Advertiser,0002089,LSGA,England,1854,1855,"Yes, fully",1854,1855,
366,Liverpool Standard and General Commercial Advertiser,Liverpool Standard and General Commercial Advertiser,Liverpool Standard and General Commercial Advertiser,0002090,LSGA,England,1855,1856,"Yes, fully",1855,1856,
456,Liverpool Weekly Courier,Liverpool Weekly Courier,Liverpool Weekly Courier.,0003067,LWC,England,1867,1879,"Yes, fully",1867,1869,Not separated in the data
536,Liverpool Weekly Courier,Liverpool Weekly Courier,Liverpool Weekly Courier,0003067,LWC,England,1880,1903,"Yes, fully",1872,1903,"Not separated in the data, missing years 1891, 1894, 1896"
